V1,V2,V3,V4,V5,V6,V7
PR6,45,.A9,7L6,8,PR6,45
PR9,619,.W4,S56,PR9,619,.W4
D20,9.P,26,D20,9.P,26,D20
B35,8.C,57,B35,8.C,57,B35
BX4,705,.N5,B49,198,9,BX4
PR4,571,.A1,PR4,571,.A1,PR4
BX4,700,.T5,A32,6,BX4,700
BX1,795,.N3,6M4,720,3,BX1
BV4,647,.M4,F73,BV4,647,.M4
BS1,140,.C6,5,BS1,140,.C6
BX1,378,.I9,4,BX1,378,.I9
BJ3,7.K,74,BJ3,7.K,74,BJ3
BS5,87,K72,BS5,87,K72,BS5
B76,5T5,4G3,14,B76,5T5,4G3
BX1,752,.M2,37,BX1,752,.M2
BT9,7.L,43,BT9,7.L,43,BT9
BX2,350,.S3,7,BX2,350,.S3
BR6,5.I,62E,5,BR6,5.I,62E
BT8,3.S,323,BT8,3.S,323,BT8
BX1,378,.6.,A5,BX1,378,.6.
BR1,12,K5,BR1,12,K5,BR1
BR1,15,E3C,38,BR1,15,E3C
BX4,700,.F6,B55,5,BX4,700
PT8,950,.U5,O61,513,PT8,950
PT8,950,.U5,O61,613,PT8,950
PT8,950,.U5,O62,13,PT8,950
PT8,950,.U5,O63,13,PT8,950
B16,49,S24,71D,66,B16,49
BX1,913,.M3,7,BX1,913,.M3
BR5,26,D73,5,BR5,26,D73
BV2,10,D89,BV2,10,D89,BV2
BT4,50,B32,BT4,50,B32,BT4
PR6,0,.A9,L4,PR6,0,.A9
BF5,1.P,43,BF5,1.P,43,BF5
BJ1,401,.W7,2,BJ1,401,.W7
PR4,453,.C4,PR4,453,.C4,PR4
AC1,.E8,0.91,3,AC1,.E8,0.91
BV2,10,L44,BV2,10,L44,BV2
PE1,585,.L4,PE1,585,.L4,PE1
BR8,5.L,484,BR8,5.L,484,BR8
BX9,45,V53,BX9,45,V53,BX9
PN6,71,.R4,B6,PN6,71,.R4
BX4,705,.C6,814,5T7,613,BX4
BX2,350,.G7,4,BX2,350,.G7
BX2,179,.L8,T44,5,BX2,179
BX9,55,2,BX9,55,2,BX9
BX1,747,.C4,8,BX1,747,.C4
BX4,671,.C3,5,BX4,671,.C3
PR9,199,.O2,5,PR9,199,.O2
B33,59,V64,V66,B33,59,V64
BV4,447,.D3,9,BV4,447,.D3
BX2,230,0.3,BX2,230,0.3,BX2
BX1,961,.S5,6,BX1,961,.S5
BX1,753,.C3,713,BX1,753,.C3
BV4,447,.E3,27,BV4,447,.E3
BX2,347,.Y7,R46,BX2,347,.Y7
BX1,961,.K4,BX1,961,.K4,BX1
PR6,23,.E9,26A,17,PR6,23
BV4,597,.L4,3W5,3,BV4,597
PZ7,.H1,828,M,PZ7,.H1,828
BX1,754,.K5,4,BX1,754,.K5
HQ7,55,85,N48,HQ7,55,85
BT6,55,K25,BT6,55,K25,BT6
DS1,35,N6F,733,13,DS1,35
BX2,376,.G3,5,BX2,376,.G3
BT5,80,K53,I45,BT5,80,K53
HQ7,67,15,S56,HQ7,67,15
D00,6,D00,6,D00,6,D00
BX1,912,BX1,912,BX1,912,BX1
PN1,997,.G6,774,PN1,997,.G6
PN1,995,.F6,7O8,8,PN1,995
PN1,995,.M4,5B4,553,PN1,995
AP2,.R2,553,AP2,.R2,553,AP2
PR6,3,E7,PR6,3,E7,PR6
BX1,378,.V4,620,13,BX1,378
BR1,720,.A9,L36,132,2,BR1
BX1,751,.G8,513,BX1,751,.G8
BS8,95,K62,BS8,95,K62,BS8
BS8,95,K62,0.2,BS8,95,K62
HQ7,66,3.N,6,HQ7,66,3.N
PR4,453,.C4,PR4,453,.C4,PR4
BV5,91,.C7,B33,13,BV5,91
PR5,107,.L6,7,PR5,107,.L6
BX9,55,2.K,452,5,BX9,55
BX1,378,.R5,4,BX1,378,.R5
PC2,129,.E3,PC2,129,.E3,PC2
BT1,21,P51,3,BT1,21,P51
BX2,350,.P4,781,3,BX2,350
BT2,16,G58,13,BT2,16,G58
BR1,45,3.G,582,1,BR1,45
BT6,45,C37,BT6,45,C37,BT6
BT7,66,D4,BT7,66,D4,BT7
BR7,46,B5,BR7,46,B5,BR7
PR4,453,.C4,A6,PR4,453,.C4
BR3,5,C5,BR3,5,C5,BR3
BR4,55,C7,BR4,55,C7,BR4
BR4,75,V5,BR4,75,V5,BR4
BL5,1.G,631,3,BL5,1.G,631
B76,5.T,54E,19,B76,5.T,54E
BR6,5.A,64E,5,BR6,5.A,64E
BT9,93,R31,3,BT9,93,R31
CB3,53,CB3,53,CB3,53,CB3
PS3,565,.C5,7,PS3,565,.C5
BT7,3,R53,BT7,3,R53,BT7
BX2,347,.W4,3,BX2,347,.W4
BR1,720,.A9,L36,13,BR1,720
PR6,39,.O3,2,PR6,39,.O3
BR1,705,.A2,V52,5,BR1,705
BV2,10,B87,BV2,10,B87,BV2
PQ4,412,.G5,5,PQ4,412,.G5
D15,7.S,736,D15,7.S,736,D15
BX2,350,.G7,5,BX2,350,.G7
BS2,585,.M3,7,BS2,585,.M3
BS2,575,.M3,7,BS2,575,.M3
N80,65,N80,65,N80,65,N80
BV4,501,.M1,92,BV4,501,.M1
BX8,90,N41,7,BX8,90,N41
PZ7,.L5,847,4L,PZ7,.L5,847
BJ3,7.S,855,BJ3,7.S,855,BJ3
BX4,668,.H8,6,BX4,668,.H8
BV4,647,.J6,8L3,2,BV4,647
BX2,350,0.65,BX2,350,0.65,BX2
BV4,647,.F5,5H8,5,BV4,647
BX2,230,.C3,8,BX2,230,.C3
BX4,705,.S3,36,BX4,705,.S3
BJ1,470,.K4,5,BJ1,470,.K4
BT7,8,J63,13,BT7,8,J63
GV6,97,S20,10,GV6,97,S20
BX2,355,.W4,5,BX2,355,.W4
BX2,343,.3.,H82,BX2,343,.3.
HF5,388,.S7,4,HF5,388,.S7
BX2,350,0.3,BX2,350,0.3,BX2
BT3,4,K45,BT3,4,K45,BT3
BX2,435,.S2,56,BX2,435,.S2
BX4,705,.F6,2P6,3,BX4,705
BX2,350,0.2,BX2,350,0.2,BX2
BX4,705,.I4,6A3,BX4,705,.I4
HQ4,71,F72,5,HQ4,71,F72
RC5,37,K20,12,RC5,37,K20
PR6,39,.O3,2L6,718,PR6,39
PR6,39,.O3,2L6,718,PR6,39
PR6,39,.O3,2L6,718,PR6,39
PR6,39,.O3,2L6,718,PR6,39
PR6,39,.O3,2L6,718,PR6,39
PN5,6.H,38P,437,PN5,6.H,38P
BT2,5,S27,13,BT2,5,S27
BX4,700,.K5,5F4,4,BX4,700
BX1,378,.5A,8,BX1,378,.5A
BX4,700,.B7,5F6,BX4,700,.B7
BR1,45,O86,BR1,45,O86,BR1
BX1,754,.K3,65,BX1,754,.K3
BT1,3,S77,BT1,3,S77,BT1
BX4,705,.A5,8D8,213,BX4,705
BX4,705,.F6,5A5,713,BX4,705
BX1,961,.P4,5,BX1,961,.P4
BX2,230,.M6,6,BX2,230,.M6
BS2,341,.2.,N38,2,BS2,341
BX1,912,.J6,5,BX1,912,.J6
BX2,350,.B6,45,BX2,350,.B6
BV2,10,2.S,516,5,BV2,10
HQ8,1,C68,HQ8,1,C68,HQ8
BX2,347,.M2,7,BX2,347,.M2
BX1,969,.R3,813,BX1,969,.R3
BX1,970,.M4,841,3,BX1,970
BX2,170,.A4,A36,BX2,170,.A4
BX2,375,.D8,7,BX2,375,.D8
BX8,42,D84,BX8,42,D84,BX8
BX4,668,.R3,2,BX4,668,.R3
BX4,705,.N4,26B,69,BX4,705
BX2,40,.J6,4,BX2,40,.J6
BV4,811,.G7,88,BV4,811,.G7
PZ7,.L5,847,4L,PZ7,.L5,847
GN2,84,A29,GN2,84,A29,GN2
BT4,82,S76,BT4,82,S76,BT4
BV4,910,0.34,.M1,83,BV4,910
DS1,35,N6H,548,13,DS1,35
BT6,13,P58,201,8,BT6,13
BV2,10,2.S,531,999,BV2,10
BX4,705,.M5,42M,38,BX4,705
BX4,700,BX4,700,BX4,700,BX4
BX4,705,.M5,42G,751,983,BX4
BV4,647,.M4,T47,213,201,6
BX1,644,BX1,644,BX1,644,BX1
BX8,.2.,B37,BX8,.2.,B37,BX8
BX4,705,.M5,42F,87,BX4,705
BX4,700,.L7,M54,BX4,700,.L7
RC5,58,N53,3,RC5,58,N53
PQ2,613,.I5,7H5,813,PQ2,613
BV4,509,.T4,5,BV4,509,.T4
BX1,912,0.5,BX1,912,0.5,BX1
BV5,31,.F8,6,BV5,31,.F8
HQ3,1,HQ3,1,HQ3,1,HQ3
BS5,34,W55,BS5,34,W55,BS5
BT6,11,M37,BT6,11,M37,BT6
BX4,705,.N1,7C7,BX4,705,.N1
BX4,700,.F8,A4,BX4,700,.F8
BX3,706,.A2,P65,13,BX3,706
BX3,705,.R6,313,BX3,705,.R6
PR9,199,.O2,5F3,9,PR9,199
PR9,199,.O2,5I8,5,PR9,199
BR1,28,A8E,24,BR1,28,A8E
BX4,700,.T6,O44,BX4,700,.T6
BX1,912,.B3,7,BX1,912,.B3
BX2,350,.S3,68,BX2,350,.S3
BX2,350,.M2,65,BX2,350,.M2
BX1,751,.S4,2,BX1,751,.S4
BS4,91,2.N,321,BS4,91,2.N
PZ7,.L5,847,4C,PZ7,.L5,847
BX3,702,.3.,S56,13,BX3,702
BX3,706,.O4,25,BX3,706,.O4
BX2,375,.R3,8,BX2,375,.R3
BX2,179,.L7,E5,BX2,179,.L7
BX2,380,.1C,939,BX2,380,.1C
BX2,380,.C6,44,BX2,380,.C6
PR6,45,.A9,7,PR6,45,.A9
PS3,604,.O3,4A7,7,PS3,604
ND2,49,K85,A2,ND2,49,K85
BT3,1,J64,BT3,1,J64,BT3
BX1,795,.G6,6S2,7,BX1,795
BV4,509,.S2,713,BV4,509,.S2
BT5,90,P45,B32,13,BT5,90
BX2,179,.L8,BX2,179,.L8,BX2
BX2,347,.S7,75,BX2,347,.S7
BX2,179,.L8,L37,BX2,179,.L8
BS2,576,.W7,5,BS2,576,.W7
BT1,102,BT1,102,BT1,102,BT1
BX1,746,.L6,3,BX1,746,.L6
BX2,350,.L4,387,BX2,350,.L4
PQ4,714,.A2,PQ4,714,.A2,PQ4
RJ4,96,C67,P57,RJ4,96,C67
BT8,25,N63,BT8,25,N63,BT8
BS2,575,.B7,6,BS2,575,.B7
PR6,23,.E9,26Z,48,PR6,23
BX2,350,.G3,5,BX2,350,.G3
BT7,7.L,348,BT7,7.L,348,BT7
BT9,7.L,43,BT9,7.L,43,BT9
BT8,21,R37,13,BT8,21,R37
BX1,751,.R3,413,BX1,751,.R3
BX1,746,.R3,641,3,BX1,746
BX1,795,.S4,8,BX1,795,.S4
BX1,795,.S4,8J6,45,BX1,795
BT1,53,M4G,24,BT1,53,M4G
BR1,15,S57,M54,BR1,15,S57
BX2,179,.L8,G35,4,BX2,179
BX1,795,.G6,6S2,7,BX1,795
BX4,700,.V5,T72,BX4,700,.V5
PQ4,315,.E7,6,PQ4,315,.E7
PQ4,315,.H6,5,PQ4,315,.H6
PQ4,315,.S3,2,PQ4,315,.S3
BX4,700,.T6,D35,BX4,700,.T6
BJ1,451,.S2,3,BJ1,451,.S2
BX3,706,.B7,BX3,706,.B7,BX3
PR6,7,.E8,4G6,5,PR6,7
PR6,7,.E8,4S4,7,PR6,7
BV4,639,.C3,227,13,BV4,639
BX4,705,.A4,29R,651,3,BX4
QP1,11,Y68,QP1,11,Y68,QP1
BX1,795,.H8,2C3,831,3,BX1
BX4,705,.N5,BX4,705,.N5,BX4
BX4,700,.T5,F87,BX4,700,.T5
BT1,109,.D8,5,BT1,109,.D8
BX1,378,.A4,5,BX1,378,.A4
BX2,350,.D8,3,BX2,350,.D8
BR7,35,J46,BR7,35,J46,BR7
PR2,135,.A2,A65,PR2,135,.A2
BR6,0.A,572,BR6,0.A,572,BR6
BD4,50,L57,441,3,BD4,50
BT6,95,S27,BT6,95,S27,BT6
BT1,390,.S4,3,BT1,390,.S4
BX4,705,.M5,42H,55,BX4,705
BX4,406,.Z8,T47,BX4,406,.Z8
BF5,3,M44,BF5,3,M44,BF5
BV2,160,.J6,4,BV2,160,.J6
BX1,795,.H3,4,BX1,795,.H3
BV4,0.D,38,BV4,0.D,38,BV4
BV4,626,.V6,7,BV4,626,.V6
PN6,737,.L5,3P5,8,PN6,737
BV4,423,.M3,713,BV4,423,.M3
BR1,62,B46,BR1,62,B46,BR1
BR1,65,W56,BR1,65,W56,BR1
BV8,25,P58,BV8,25,P58,BV8
BX3,4,.E6,BX3,4,.E6,BX3
BX1,751,.L8,213,BX1,751,.L8
BS2,575,.B3,5,BS2,575,.B3
BS2,583,197,5,BS2,583,197
BX4,705,.D2,83H,46,BX4,705
PS3,565,.C5,7A6,PS3,565,.C5
BT9,93,B46,4,BT9,93,B46
BX1,378,.P8,7,BX1,378,.P8
HQ7,6.U,5H7,688,HQ7,6.U,5H7
HQ7,6.R,383,HQ7,6.R,383,HQ7
BR1,15,H6S,73,BR1,15,H6S
HQ7,6.G,493,HQ7,6.G,493,HQ7
BX4,705,.M4,294,A3,BX4,705
BT7,8,Y37,BT7,8,Y37,BT7
BT1,2,J63,BT1,2,J63,BT1
BX1,378,.S9,5,BX1,378,.S9
BT1,21,J64,BT1,21,J64,BT1
BX1,378,.B4,7,BX1,378,.B4
BT2,2,J63,BT2,2,J63,BT2
BX2,163,.C3,8,BX2,163,.C3
BX4,700,.F6,P35,5,BX4,700
BX4,655,.B7,6,BX4,655,.B7
BX1,378,.S9,8,BX1,378,.S9
BS1,430,.K6,4,BS1,430,.K6
BX1,378,.O2,4,BX1,378,.O2
BX1,795,.S4,8P4,6,BX1,795
BX1,378,.T7,BX1,378,.T7,BX1
BX2,350,.5.,C38,BX2,350,.5.
BX2,347,.C4,5,BX2,347,.C4
BS2,984,.J6,414,BS2,984,.J6
QC9,81,C5H,74,QC9,81,C5H
BX1,378,.C3,7,BX1,378,.C3
BX1,751,.J6,3,BX1,751,.J6
BX1,378,.K5,53,BX1,378,.K5
BX1,378,.T5,8,BX1,378,.T5
BX4,705,.S5,7D5,BX4,705,.S5
BX4,705,.N5,BX4,705,.N5,BX4
BX4,705,.N5,N45,4,BX4,705
PZ7,.L5,847,4H,PZ7,.L5,847
BX1,959,.E5,C38,BX1,959,.E5
BX2,179,.T4,S44,BX2,179,.T4
BX4,700,.T4,O22,BX4,700,.T4
BV5,80,.J7,43,BV5,80,.J7
HQ7,74,JB,HQ7,74,JB,HQ7
BR1,706,.H5,713,BR1,706,.H5
BX2,265,0.3,BX2,265,0.3,BX2
BS1,75,.G8,BS1,75,.G8,BS1
BV4,810,BV4,810,BV4,810,BV4
BX4,668,.S7,3O2,4,BX4,668
BX3,203,.P3,8,BX3,203,.P3
BX4,705,.S8,14F,313,BX4,705
BX4,705,.S8,14,BX4,705,.S8
BX4,700,.T4,W3,BX4,700,.T4
BX4,700,.J7,S75,13,BX4,700
BX4,700,.T4,B68,BX4,700,.T4
BX2,179,.T3,A75,13,BX2,179
BX2,179,.F8,BX2,179,.F8,BX2
BX2,347,.S6,4,BX2,347,.S6
BV4,647,.C5,C32,13,BV4,647
BV4,832,.L5,4,BV4,832,.L5
BX4,406,.Z8,G65,13,BX4,406
BX4,700,.J7,K56,BX4,700,.J7
BS1,245,.E4,4,BS1,245,.E4
BS1,235,.G5,3,BS1,235,.G5
BV1,475,.9.,E27,BV1,475,.9.
BX9,21,O43,BX9,21,O43,BX9
BX1,378,0.5,BX1,378,0.5,BX1
BX1,959,.E5,C38,BX1,959,.E5
BS2,330,.B7,6,BS2,330,.B7
BX2,179,.T5,3K5,7,BX2,179
BX2,350,.S4,38,BX2,350,.S4
BX2,182,.F7,3,BX2,182,.F7
BX4,705,.F6,5C3,713,BX4,705
BF1,45,.N4,E23,BF1,45,.N4
BR1,706,.W8,3,BR1,706,.W8
BT4,31,L62,13,BT4,31,L62
BX4,700,BX4,700,BX4,700,BX4
BX4,700,.T5,H28,BX4,700,.T5
BX4,705,.M3,65D,471,3,BX4
BX4,705,.B7,2,BX4,705,.B7
BX3,203,.S5,2,BX3,203,.S5
BX3,206,.O3,3,BX3,206,.O3
BX4,705,.M4,238,A32,BX4,705
BT3,1,I83,BT3,1,I83,BT3
PR1,195,.C4,8.00E+09,7,PR1,195
BX4,700,.F6,9K4,6,BX4,700
BX1,378,.C3,8,BX1,378,.C3
BT4,31,3,BT4,31,3,BT4
BX2,170,.L4,C6,BX2,170,.L4
BX1,378,.J5,74,BX1,378,.J5
BX2,170,.L4,G74,BX2,170,.L4
BV4,277,.S3,4,BV4,277,.S3
BX2,170,.L4,D37,BX2,170,.L4
BV8,5.S,49,BV8,5.S,49,BV8
BS5,34,P76,5,BS5,34,P76
BS5,34,P76,5,BS5,34,P76
BX1,912,.J6,5,BX1,912,.J6
BS2,95,.N3,94,BS2,95,.N3
BX1,378,.F5,8,BX1,378,.F5
BS2,585,.S5,7,BS2,585,.S5
BX1,378,.J6,6,BX1,378,.J6
BR1,15,H4W,55,BR1,15,H4W
BT4,31,A41,3,BT4,31,A41
BX1,378,.M3,5,BX1,378,.M3
BX1,378,.G7,BX1,378,.G7,BX1
BX2,159,.H7,BX2,159,.H7,BX2
BT4,31,M87,BT4,31,M87,BT4
BX2,435,.C3,613,BX2,435,.C3
BX2,265,.W8,4,BX2,265,.W8
BX1,378,.F4,BX1,378,.F4,BX1
BV4,330,.W4,4,BV4,330,.W4
BX2,215,.B6,7,BX2,215,.B6
PS3,515,.A8,285,4S3,PS3,515
BX1,378,.J6,291,3,BX1,378
BX2,215,.B3,7,BX2,215,.B3
B33,32,S67,2,B33,32,S67
BX4,705,.B8,15E,88,BX4,705
BF5,75,H27,A44,6,BF5,75
BX2,350,.K4,528,BX2,350,.K4
BT6,60,F3,BT6,60,F3,BT6
BV4,813,.R5,7,BV4,813,.R5
BV2,83,G7T,24,BV2,83,G7T
BX1,795,.S4,8J6,45,BX1,795
HN3,7.C,3,HN3,7.C,3,HN3
BR2,90,D31,3,BR2,90,D31
BR4,70,D32,3,BR4,70,D32
BL4,58,W5,BL4,58,W5,BL4
BS1,91,A1,BS1,91,A1,BS1
BR1,15,C5D,37,BR1,15,C5D
BR1,15,W6M,313,BR1,15,W6M
BT6,1,D25,3,BT6,1,D25
Z55,79,6CB,425,.D5,4,Z55
LC5,4,M84,LC5,4,M84,LC5
TX8,37,D25,TX8,37,D25,TX8
RB1,50,C6O,223,RB1,50,C6O
RA3,90,U5D,583,RA3,90,U5D
R72,2.D,65D,65,R72,2.D,65D
PZ3,.B5,402,47D,PZ3,.B5,402
PS3,523,.Y5,15W,6,PS3,523
PS3,537,.T3,234,G8,PS3,537
PR9,199,.B7,98P,4,PR9,199
PR6,15,.O7,9Z9,PR6,15,.O7
PR6,39,.O3,2,PR6,39,.O3
PR6,39,.O3,2,PR6,39,.O3
PR6,39,.O3,2,PR6,39,.O3
BR1,608,.R8,W85,BR1,608,.R8
PR6,7,.E8,4C5,8,PR6,7
PR6,37,.E7,2S5,6,PR6,37
PR1,203,.S8,PR1,203,.S8,PR1
PZ4,.T8,16P,R60,39,R52,PZ4
PQ6,400,.J8,A17,PQ6,400,.J8
PQ4,315,0.4,PQ4,315,0.4,PQ4
PQ4,315,.S5,6,PQ4,315,.S5
PQ4,315,.E7,6,PQ4,315,.E7
PQ4,315,.E7,6,PQ4,315,.E7
PQ4,315,.H6,5,PQ4,315,.H6
PQ4,315,.S3,2,PQ4,315,.S3
PQ2,450,.T1,6A2,5,PQ2,450
PN6,178,PN6,178,PN6,178,PN6
PG3,326,PG3,326,PG3,326,PG3
PE1,628,.C6,8,PE1,628,.C6
PC2,640,.C6,55,PC2,640,.C6
PA2,60,G44,PA2,60,G44,PA2
BR5,16,BR5,16,BR5,16,BR5
NA1,121,.R6,H56,NA1,121,.R6
N69,21,V,N69,21,V,N69
N79,52,A1I,43,N79,52,A1I
HV8,85,N5,HV8,85,N5,HV8
HV1,624,.M3,7,HV1,624,.M3
HV7,75,N2B,6,HV7,75,N2B
HV8,85,L3A,7,HV8,85,L3A
HQ7,66,3.C,32,HQ7,66,3.C
HQ7,67,C2P,47,HQ7,67,C2P
BL2,31,BL2,31,BL2,31,BL2
HQ5,19,L46,HQ5,19,L46,HQ5
HQ7,70,C65,HQ7,70,C65,HQ7
HQ7,66,F73,HQ7,66,F73,HQ7
HQ7,77,C38,HQ7,77,C38,HQ7
HN3,7.C,3A3,HN3,7.C,3A3,HN3
HN3,7.C,3A3,HN3,7.C,3A3,HN3
HN3,7.C,3A3,HN3,7.C,3A3,HN3
BX1,795,.E2,7C3,7,BX1,795
BX1,753,.C3,281,3,BX1,753
HD6,338,HD6,338,HD6,338,HD6
BX8,60,BX8,60,BX8,60,BX8
AG5,.C2,7,AG5,.C2,7,AG5
BS4,91,5.S,44,BS4,91,5.S
E18,5.G,8,E18,5.G,8,E18
DR2,95,.G4,7G7,813,DR2,95
DG7,94,M35,DG7,94,M35,DG7
DA3,34,W8F,38,DA3,34,W8F
BX2,347,.Y7,S68,7,BX2,347
BX1,753,.H7,6,BX1,753,.H7
BX4,700,.T5,E97,BX4,700,.T5
BX2,45,.I5,53N,56,BX2,45
BX8,129,.A5,E33,BX8,129,.A5
BX2,350,.A1,E45,BX2,350,.A1
BX4,705,.R5,9P4,9,BX4,705
BX4,705,.A4,28L,351,3,BX4
BX4,705,.L7,42G,38,BX4,705
BX2,169,.L8,713,BX2,169,.L8
BX5,620,.C7,5A3,BX5,620,.C7
BX2,350,.3.,T48,213,BX2,350
BX4,668,.A1,I54,BX4,668,.A1
BX2,350,.E4,13,BX2,350,.E4
BX2,350,.F5,73,BX2,350,.F5
BX9,45,M63,BX9,45,M63,BX9
BX4,700,.J7,D64,BX4,700,.J7
BX1,795,.S6,5,BX1,795,.S6
BX2,182,.N4,5,BX2,182,.N4
BX4,700,.T5,D35,613,BX4,700
BX4,700,.T5,M37,BX4,700,.T5
BX3,203,.W4,5,BX3,203,.W4
BX2,350,.R6,55,BX2,350,.R6
BX4,406,.Z8,E38,BX4,406,.Z8
BX1,756,.J6,4F7,BX1,756,.J6
BX4,700,.T5,M32,813,BX4,700
BX2,179,.T4,9.00E+05,BX2,179,.T4
BX4,705,.R6,69B,76,BX4,705
BX4,705,BX4,705,BX4,705,BX4
BX4,667,.H3,6,BX4,667,.H3
BX2,355,.M2,15,BX2,355,.M2
BX2,347,.7.,L44,BX2,347,.7.
BX2,347,.S8,D65,BX2,347,.S8
BX3,204,.Z5,P37,BX3,204,.Z5
BX2,163,.C3,95,BX2,163,.C3
BX4,705,.F6,5H3,3,BX4,705
BX3,702,.G6,8,BX3,702,.G6
BX4,705,.M5,42A,3,BX4,705
BX1,752,.H2,3,BX1,752,.H2
BX9,45,S74,BX9,45,S74,BX9
BX2,351,.R8,3,BX2,351,.R8
BX4,705,.M5,42A,3,BX4,705
BX1,751,.J6,35,BX1,751,.J6
BX4,705,.B9,38F,68,BX4,705
BX2,230,.H2,9,BX2,230,.H2
BX1,754,.T3,4,BX1,754,.T3
BX1,751,.H3,6,BX1,751,.H3
BV4,485,BV4,485,BV4,485,BV4
BX2,350,.E3,4,BX2,350,.E3
BX4,700,.L7,P8,BX4,700,.L7
BX2,265,.S6,513,BX2,265,.S6
BX2,350,.M3,7,BX2,350,.M3
BX4,700,.T5,A4,BX4,700,.T5
BX4,700,.T5,D83,13,BX4,700
BX4,705,.C,BX4,705,.C,BX4
BX4,700,.K2,4P7,313,BX4,700
BX4,705,.P4,575,C63,BX4,705
BX4,700,.T5,F65,BX4,700,.T5
BX4,700,.T5,E69,BX4,700,.T5
